Date,Price,Open,High,Low,Vol.,Change %
26/06/2024,14.045,14.3125,14.5475,13.985,,-1.87%
25/06/2024,14.3125,14.0575,14.455,13.8425,,0.0181
24/06/2024,14.0575,13.18,14.2675,13.15,,0.0666
21/06/2024,13.18,13.345,13.59,12.475,,-1.24%
20/06/2024,13.345,13.7125,14.06,13.1025,,-2.68%
19/06/2024,13.7125,12.965,13.815,11.63,,0.0577
18/06/2024,12.965,12.8225,13.42,12.625,,0.0111
14/06/2024,12.8225,13.4875,13.4875,12.655,,-4.93%
13/06/2024,13.4875,14.3875,14.3875,13.3125,,-6.26%
12/06/2024,14.3875,14.765,14.765,13.165,,-2.56%
11/06/2024,14.765,16.3975,16.3975,14.675,,-9.96%
10/06/2024,16.3975,16.8825,17.25,16.17,,-2.87%
07/06/2024,16.8825,16.8,17.145,16.3725,,0.0049
06/06/2024,16.8,18.885,18.885,16.5575,,-11.04%
05/06/2024,18.885,26.7475,26.925,18.6575,,-29.40%
04/06/2024,26.7475,20.9375,31.71,18.8025,,0.2775
03/06/2024,20.9375,24.6025,24.6025,19.115,,-14.90%
31/05/2024,24.6025,24.175,24.81,22.5975,,0.0177
30/05/2024,24.175,24.175,24.52,22.7525,,0.00%
29/05/2024,24.175,24.195,24.7725,23.545,,-0.08%
28/05/2024,24.195,23.1925,24.475,22.025,,0.0432
27/05/2024,23.1925,21.71,26.195,18.435,,0.0683
24/05/2024,21.71,21.38,21.8975,20.59,,0.0154
23/05/2024,21.38,21.4675,24.215,18.84,,-0.41%
22/05/2024,21.4675,21.81,22.2925,18.185,,-1.57%
21/05/2024,21.81,20.525,22.3025,20.525,,0.0626
18/05/2024,20.525,19.7975,20.945,17.3375,,0.0367
17/05/2024,19.7975,19.995,20.3675,18.98,,-0.99%
16/05/2024,19.995,20.2725,21.1125,18.965,,-1.37%
15/05/2024,20.2725,20.195,20.6575,19.87,,0.0038
14/05/2024,20.195,20.6,21.875,20.1125,,-1.97%
13/05/2024,20.6,18.4725,21.485,18.4725,,0.1152
10/05/2024,18.4725,18.2,19.0075,17.995,,0.015
09/05/2024,18.2,17.08,19.1725,17.08,,0.0656
08/05/2024,17.08,17.0075,18.3175,16.4625,,0.0043
07/05/2024,17.0075,16.6,17.6425,16.6,,0.0245
06/05/2024,16.6,14.6175,16.9625,14.6175,,0.1356
